Citation Key,Title,Orchestration Framework,Organizational Structure (Original),Cognitive & Reasoning Protocols,Operational Methodologies (Original),State Representation & Memory,Modality,Number of Agents,Asimow Phase Coverage,Taxonomy: Org Structure,Taxonomy: Op Methodology,Structure_Inferred,Human_In_Loop
jin2025gridmind,GridMind: LLMs-Powered Agents for Power System Analysis and Operations,PydanticAI,"Hierarchical, Collaborative, and Sequential (Planner-coordinated)","Reason-Act-Reflect Loop, Chain-of-Thought (CoT), Planning",Parse-Plan-Invoke-Validate-Narrate-Persist (Deterministic loop),Structured in-session memory; Chronological diff log; Cached results,"Text, Network snapshots (IEEE test cases), JSON",4,Analysis - Synthesis - Evaluation,Orchestrated,Iterative-Feedback,Yes,Yes
liao2024autoforma,AutoForma: A Large Language Model-Based Multi-Agent for Computer-Automated Design,AutoGen,"Hierarchical, Collaborative, and Sequential (Requirement-Plan-Code-Execute)","Retrieval-Augmented Generation (RAG), Requirement Analysis, Task Planning",Requirement-Plan-Code-Execute-Verify (Four-stage sequential workflow),Vector Database (RAG); JSON-formatted results,"Text, Python scripts, 3D Model previews",4,Analysis - Synthesis,Sequential,Staged-Pipeline,No,Yes
ding2023designgpt,DesignGPT: Multi-Agent Collaboration in Design,Custom,"Hierarchical, Collaborative, and Human in the Loop (Simulates design firm roles)","Standardized Operating Procedures (SOPs), Role-Playing, Reflection, Brainstorming",Standardized Operating Procedures (SOPs) simulating corporate workflow,Requirements Import Form; Historical records; Status management; Knowledge Base,"Text, Images (Sketches/Concept maps), Process documents (PDF/CSV)",5,Analysis,Networked,Iterative-Feedback,No,Yes
mushtaq2025harnessing,Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A Framework for Senior Design Projects,Camel AI,"Hierarchical, Collaborative, and Human in the Loop (Coordinator-managed)","Tree of Thoughts (ToT), Chain-of-Thought (CoT), Task Decomposition, ReAct",Coordinator-Managed Task Distribution (via centralized Task Channel),Message history of last 10 responses; Coordinator-managed task state,"Text, PDF (Senior Design Proposals), Internet results",10,Analysis,Orchestrated,Staged-Pipeline,Yes,Yes
panta2025meda,MEDA: A Multi-Agent System For Parametric CAD Model Creation,AutoGen,"Hierarchical, Collaborative, and Sequential (FSM-based transitions)","Multi-modal Self-Correction/Refinement, Planning, Zero-shot & One-shot Learning",Finite State Machine (FSM) constrained transitions and Generate-Execute-Review-Iterate,Internal memory states; FSM for controlled transitions; Working directory storage,"Text, Python scripts (CadQuery), Images, STL, STEP",5,Analysis - Synthesis,Networked,Graph-Routed,Yes,No
wang2025llm,An LLM-enabled Multi-Agent Autonomous Mechatronics Design Framework,Custom,"Hierarchical, Collaborative, Sequential, and Human in the Loop","Chain-of-Thought (CoT), Constraint-Aware Reasoning, Goal/Task Decomposition, Planning",High-Level Planning Decomposition and Human-in-the-Loop Refinement,Command buffer; Unified design strategy; Knowledge base,"Text, Python code, Logic analyzer traces, Schematic diagrams",5,Analysis - Synthesis,Orchestrated,Iterative-Feedback,No,Yes
ghafarollahi2025automating,Automating Alloy Design and Discovery with Physics-Aware Multimodal Multiagent AI,AutoGen,"Hierarchical, Collaborative, and Human in the Loop (Brain-Perception-Action loop)","Strategic Planning, Physics-Aware Reasoning, Multimodal Reasoning, Planner-Critic Loop",Brain-Perception-Action Loop and Planner-Critic Approval Workflow,Core memory; Structured conversational memory; Vector embedding databases,"Text, Multimodal data (Differential Displacement maps), LAMMPS scripts, CSV",11,Analysis - Synthesis - Evaluation,Networked,Iterative-Feedback,No,Yes
ataei2025elicitron,Elicitron: A Large Language Model Agent-Based Simulation Framework for Design Requirements Elicitation,Custom (Python/Pydantic),"Hierarchical, Collaborative, and Sequential (Serial/Parallel generation)","Chain-of-Thought (CoT), Diversity Sampling (K-means), Role-Playing, Scenario-Based",Action-Observation-Challenge Loop and Context-Aware Serial Generation,Persistent context (Serial method); Context window management,"Text, Pydantic models for schema validation",22,Analysis,Sequential,Staged-Pipeline,Yes,No
chen2025cost,A Cost-Aware Multi-Agent System for Black-Box Design Space Exploration,Custom (MABO/MARL framework),"Hierarchical, Collaborative, and Hybrid (Global-local communication)","Bayesian Optimization Reasoning, Multi-Agent RL, Information/Performance Gain Balancing",Global-Local Communication Strategy and MABO/MARL Integrated Search,Experience replay buffer; Gaussian process prior; Global evaluator sharing,"Text, 2D Design variables",4,Analysis,Networked,Graph-Routed,No,No
massoudi2025agentic,Agentic Large Language Models for Conceptual Systems Engineering and Design,LangGraph,"Hierarchical, Collaborative, and Sequential (Supervisor-led evolution loop)","Long-Context Reasoning, Reflection/Self-Criticism, Graph-Based Reasoning (DSG)",Generate-Critique-Evolve Loop and Design State Graph (DSG) Management,Design State Graph (DSG); Stateful nodes; Structured JSON; Persistent memory,"Text, Python scripts, Graph metadata",11,Analysis,Orchestrated,Graph-Routed,No,No
elrefaie2025ai,AI Agents in Engineering Design: A Multi-Agent Framework for Aesthetic and Aerodynamic Car Design,AutoGen,"Hierarchical, Collaborative, and Hybrid (Sequential and Parallel interactions)","Vision-Language Modeling, Hierarchical Collaboration, Iterative Refinement",Hybrid Agent Workflow (sequential dependencies with parallel tasks),Latent space representation (DeepSDF); DrivAerNet++ database,"Text, 2D Sketches, 3D CAD/Meshes, Point Clouds, Voxel Grids, Depth maps",4,Analysis - Synthesis - Evaluation,Sequential,Iterative-Feedback,No,Yes
navarro2025autonomous,Autonomous Multi-Agent AI Systems for Satellite Mission Design,CrewAI,Hierarchical,"Multi-agent debate, Self-correction loops, DeepSeek-R1/GPT-4o reasoning",Hierarchical Process with iterative refinement loop,Built-in expert knowledge; Memory (Study Manager component),"Text (mission requirements), Numerical/Quantitative data",6,Analysis,Orchestrated,Graph-Routed,No,No
zhang2025desagent,DesAgent: A Multi-Agent Mechanical Design Method Based on Collaborative Large and Small Models,ChatGLM-based,Hierarchical and Collaborative (SNS-Loop dual-loop architecture),"ReAct, Retrieval-Augmented Generation (RAG), Nash Equilibrium coordination",Closed-loop SNS-Loop (Semantic-Numerical); Material Selection to Validation sequence,State-space model; Multidisciplinary coupling matrix; FAISS vector database,"Text, Visual (sketches/CAD), Simulation data (FEA/Modal)",4+,Analysis - Synthesis - Evaluation,Sequential,Graph-Routed,No,No
